Name,Pos,Team,G,Tck,TFL,FF/FR,Sck,Int,PD,Sfty,TD,Blk P/XP/FG
Wright Jr.. O.,LB,POR,14,157,3,0/1,3,0,3,0,0,0/0/0
Mitchell. C.,LB,LDN,14,155,1,0/1,3,1,4,0,0,0/0/0
McCoy. B.,LB,DAL,14,147,3,3/0,1,0,2,0,0,0/0/0
Mouseman. T.,LB,MB,14,140,2,3/1,4,1,5,0,0,0/0/0
Scott. R.,LB,NOR,14,135,9,1/0,9,2,7,1,1,1/0/0
Kennedy. D.,LB,MINN,14,126,6,1/0,12,0,1,0,0,0/0/0
Wright. N.,LB,TIJ,14,124,2,0/0,1,0,0,0,0,0/0/0
Kackpoo. H.,LB,POR,14,123,1,1/0,6,2,10,0,0,0/0/0
Crooks. L.,CB,LDN,14,120,1,2/1,0,1,6,0,0,0/0/0
Woods. T.,LB,MB,14,118,0,0/0,8,0,11,0,0,0/0/0
Owens. B.,LB,DAL,14,118,0,3/1,5,0,0,0,0,0/0/0
Banks. J.,LB,NOR,14,117,9,3/1,9,1,10,0,1,0/0/0
Richards. E.,LB,LDN,14,116,2,5/1,1,1,7,0,0,0/0/0
Marshall. S.,LB,NOR,14,113,0,2/1,6,1,4,0,0,0/0/0
Ammons. M.,LB,KC,14,113,3,3/1,1,0,2,0,0,0/0/0
Mendoza. C.,CB,DAL,14,105,2,1/0,2,0,5,1,0,0/0/0
Porter. G.,LB,TIJ,14,104,3,1/0,6,1,10,0,0,0/0/0
Hexagon. L.,FS,TIJ,14,103,1,0/0,0,5,6,0,1,0/0/0
Sly. G.,FS,LDN,14,92,0,0/2,2,1,2,0,0,1/0/0
Bois. J.,FS,KC,14,90,0,0/0,1,1,1,0,0,0/0/0
O'Donohue. S.,LB,KC,14,87,0,1/0,7,0,1,0,0,0/0/0
Mobley. M.,FS,POR,14,86,1,1/0,0,2,8,0,1,0/0/0
Goku. S.,DE,KC,14,85,16,2/1,9,0,0,0,0,0/0/0
Dawkins. S.,FS,POR,14,84,0,3/1,3,1,2,0,0,0/0/0
Vettel. S.,SS,MINN,14,74,0,0/0,5,1,3,0,0,0/0/0
Bob. B.,SS,LDN,14,73,0,0/0,2,3,3,1,0,0/0/0
Thornton. B.,FS,MINN,14,72,2,1/0,8,3,6,0,2,1/0/0
Smoothie. E.,SS,MB,14,71,1,0/0,7,2,3,0,0,0/0/0
de Pengu. A.,FS,NOR,14,71,0,2/2,1,0,0,0,0,0/0/0
Muhammad. A.,SS,DAL,14,71,0,0/0,1,0,0,0,0,0/0/0
Valdyr. M.,SS,TIJ,14,67,0,0/1,4,1,1,0,0,0/0/0
Jadakiss. D.,FS,NOR,14,67,0,2/2,0,2,3,0,1,0/0/0
Sackson Senior. S.,LB,MINN,14,65,7,0/0,7,2,16,0,0,0/0/0
Twatford. B.,LB,MINN,14,62,2,0/1,2,3,4,0,0,0/0/0
Bumper. T.,CB,NOR,14,61,0,1/0,0,3,13,0,2,0/0/0
Kennedy. B.,CB,MB,12,60,0,1/0,0,1,2,0,0,0/0/0
Holcombe. D.,FS,MB,14,56,0,0/0,4,0,1,0,0,0/0/0
Lanier. B.,SS,MB,14,56,1,0/0,0,2,16,0,0,0/0/0
McCringleberry. H.,LB,DAL,14,54,17,2/1,5,0,16,0,0,0/0/0
Reynolds. S.,SS,KC,14,54,0,0/0,0,0,1,0,0,0/0/0
Ryan. H.,FS,TIJ,14,53,0,1/0,2,3,3,0,1,0/0/0
Clemente. C.,DT,MB,14,53,2,0/0,2,0,0,0,0,0/0/0
McGullager. T.,CB,DAL,14,53,0,1/1,0,2,13,0,0,0/0/0
Young. J.,CB,KC,14,53,0,0/0,0,1,11,0,0,0/0/0
Dotson. K.,SS,POR,14,53,0,0/0,4,1,1,0,0,1/0/0
Griddle. M.,SS,POR,14,53,0,0/0,0,2,18,0,1,0/0/0
Brosley. B.,CB,NOR,14,52,0,2/1,0,4,12,0,0,0/0/0
Chestnut III. W.,DE,MINN,14,51,19,0/0,7,0,0,0,0,0/0/0
Carnahan. K.,CB,TIJ,14,50,0,0/0,0,1,11,0,0,0/0/0
Dookmarriot. L.,SS,MB,14,49,0,0/0,0,2,13,0,0,0/0/0
d'Alcott. R.,FS,DAL,14,49,1,0/1,0,3,10,0,1,0/0/0
Quellers. J.,CB,KC,14,49,0,0/0,0,2,9,0,0,0/0/0
Ball. E.,SS,LDN,14,49,0,0/0,0,2,9,0,1,0/0/0
Martin. C.,CB,KC,14,48,0,0/0,0,0,3,0,0,0/0/0
Jackson. R.,CB,MINN,14,48,0,0/0,0,0,6,0,0,0/0/0
van Perkins. M.,CB,LDN,14,47,0,1/0,0,3,16,0,0,0/0/0
Longshot. L.,DE,MB,14,45,12,1/1,5,0,0,0,0,0/0/0
Riley. C.,DE,POR,14,45,25,0/0,2,0,0,0,0,0/0/0
Krause. M.,CB,MINN,14,45,0,1/1,0,4,11,0,0,0/0/0
Lopez. J.,DE,TIJ,14,44,10,0/0,6,0,0,0,0,0/0/0
Karpaasi. M.,DE,NOR,14,44,15,1/1,7,0,0,0,0,0/0/0
Hernandez. D.,DT,KC,14,43,1,0/0,0,0,0,0,0,0/0/0
Name. U.,CB,POR,14,40,0,1/0,0,1,6,0,0,0/0/0
Shields. T.,CB,MINN,14,40,2,0/0,1,0,2,0,0,0/0/0
VonPebbles. M.,DT,MINN,14,40,13,0/0,6,0,0,1,0,0/0/0
Exotic. J.,DT,MINN,14,40,1,0/0,1,0,0,0,0,0/0/0
Sinclair. B.,DT,NOR,14,39,1,2/0,3,0,0,0,0,0/0/0
Earlbacher. B.,LB,MINN,14,39,0,0/0,2,0,0,0,0,0/0/0
Morrisey. M.,DE,KC,14,38,16,1/3,2,0,0,0,0,0/0/0
Montain. T.,DT,DAL,14,35,0,0/1,5,0,0,0,0,0/0/0
Bot2. B.,DT,LDN,14,35,0,1/1,4,0,0,0,0,0/0/0
Buckshank. O.,CB,TIJ,14,34,0,0/0,0,1,16,0,0,0/0/0
Namen Jr. J.,DE,MB,14,34,16,2/1,4,0,0,0,0,0/0/0
Ka'ana'ana. B.,DT,TIJ,14,33,2,2/1,2,0,0,0,0,0/0/0
The White. J.,DT,NOR,14,33,3,0/0,2,0,0,0,0,0/0/0
Wheezer. C.,DT,KC,14,33,12,0/0,1,0,0,0,0,1/0/0
Om. T.,DE,TIJ,14,31,14,1/0,2,0,0,0,0,1/0/0
Claxton. S.,DE,POR,14,31,11,0/1,3,0,0,0,0,0/0/0
Cloudera. Y.,DT,DAL,14,30,0,1/0,2,0,0,1,0,0/0/0
Arc (S). J.,DT,POR,14,30,2,0/0,2,0,0,0,0,0/0/0
Sternum. M.,DE,LDN,14,30,14,1/0,0,0,0,0,0,0/0/0
