Name,Pos,Team,G,XPM,XPA,XP%,FGM,FGA,FG%,<20,20-29,30-39,40-49,50+,Lng
Smalls. D.,K,YKW,13,43,46,93.5,27,28,96.4,0/0,10/10,9/10,6/6,2/2,56
Dasistwirklichseinnachname. A.,K,OCO,13,34,34,100,29,31,93.5,2/2,7/7,11/11,7/8,2/3,52
Crisco. A.,K,AUS,13,42,43,97.7,20,22,90.9,1/1,7/7,6/6,6/8,0/0,46
Banana. S.,K,COL,13,30,30,100,25,28,89.3,3/3,6/6,9/9,5/7,2/3,54
Prohaska. H.,K,NO,13,26,28,92.9,21,30,70,0/0,4/4,8/11,7/11,2/4,56
Louis. L.,K,PHI,13,25,28,89.3,17,21,81,1/1,4/5,4/6,7/7,1/2,54
Espinosa. D.,K,SAR,13,21,23,91.3,20,26,76.9,1/1,9/9,5/6,4/6,1/4,54
McDairmid. M.,K,SJS,13,34,35,97.1,14,14,100,0/0,5/5,4/4,4/4,1/1,56
Jay-Jaymison. J.,P,AZ,13,22,25,88,20,21,95.2,0/0,4/4,12/12,4/4,0/1,43
Brand. F.,K,BAL,13,15,15,100,28,30,93.3,4/4,10/10,4/4,8/9,2/3,54
Powers. V.,K,HON,13,19,19,100,15,16,93.8,3/3,5/5,4/4,3/4,0/0,46
Sidekick. S.,K,CHI,13,7,9,77.8,16,22,72.7,2/2,2/2,7/10,4/7,1/1,54
