Name,Pos,Team,G,Pancakes,Sacks Allowed
Forty-Two. L.,T,YKW,13,85,0
Guard. L.,G,COL,13,66,0
Rubbe. G.,T,NO,13,65,1
Van Buren. M.,G,PHI,13,64,1
Pooky. S.,G,YKW,13,63,0
Buckley. B.,T,AZ,13,63,1
Tackle. L.,T,COL,13,61,7
Ones. B.,G,YKW,13,59,1
Doe. B.,G,SAR,13,59,0
Fifty-One. L.,T,SAR,13,59,5
Pest. T.,T,SJS,13,58,6
Room. W.,G,NO,13,58,1
Rogers. S.,T,HON,13,58,3
Blockley. C.,T,CHI,13,57,10
Saurus. B.,G,AUS,13,56,0
Unk. J.,G,AZ,13,55,3
Johns. A.,G,OCO,13,55,1
Pak. Y.,G,OCO,13,55,0
Steele. R.,G,BAL,13,54,0
Guard. R.,G,COL,13,54,1
Woakneoa. S.,G,SAR,13,54,3
Bakhtiari. S.,T,SAR,13,53,5
Tyler. J.,T,PHI,13,52,1
Ulysses. B.,T,NO,13,52,0
Fassingit. H.,T,AUS,13,52,2
Lee. B.,G,SJS,13,51,4
Beaver-Dantes. E.,T,AUS,13,51,1
Arthur. C.,T,PHI,13,50,7
Dinkley. V.,G,HON,13,50,3
Diggler. D.,G,BAL,13,49,1
Amper. T.,C,YKW,13,49,0
Wokkenfuss. G.,T,OCO,13,49,3
Harrison. H.,T,OCO,13,48,9
Saurus. B.,G,AUS,13,47,0
Dolls. B.,T,BAL,13,45,0
Johnson. R.,G,SJS,13,45,1
Tackle. R.,T,COL,13,44,9
Centre. S.,C,COL,13,44,0
Arbage. G.,G,AZ,13,44,2
Rchonsucks. A.,T,YKW,13,43,3
Foxtrot. B.,G,CHI,13,43,4
Star. L.,C,BAL,13,41,4
Ahstreet. C.,T,CHI,13,41,8
Smith. J.,C,SAR,13,41,2
Golladay. C.,T,AZ,13,41,1
Blake. D.,G,HON,13,41,4
Jeremy. R.,T,BAL,13,40,6
Doo. S.,T,HON,13,38,4
Bacon. C.,G,CHI,13,37,0
Dodggy. B.,C,SJS,13,37,2
Jones. F.,C,HON,13,37,4
Pancake. P.,T,SJS,13,36,6
Fillmore. M.,C,PHI,13,34,4
Evans. H.,TE,AZ,13,34,2
Ofyourlove. S.,C,NO,13,34,1
Brew. S.,G,NO,13,33,1
Saurus. A.,C,AUS,13,33,2
Bot. B.,G,SJS,13,31,1
Lesnar. B.,C,CHI,13,30,2
Iridian. G.,C,OCO,13,28,1
Dotson. F.,RB,PHI,13,27,4
Block. T.,C,AZ,13,27,2
McDavid. L.,TE,SJS,13,27,0
Hayes. R.,G,PHI,13,26,1
Hayes. V.,TE,CHI,13,26,1
Larson. P.,TE,AUS,13,26,1
Yoda. B.,RB,AZ,13,22,1
Mendonca. M.,RB,AUS,13,22,1
Blocksdale Jr.. A.,TE,PHI,13,21,3
Sauce. E.,TE,COL,13,21,0
McCormick. A.,FB,NO,13,21,0
Kane-Maika'i. K.,RB,HON,13,20,2
Cardrissian. R.,RB,SJS,13,18,1
Irving. J.,FB,OCO,13,18,0
Gump. F.,RB,NO,13,17,2
Hanyadi. M.,FB,YKW,13,16,1
Wolfcastle. R.,TE,NO,13,15,1
Leaf Jr.. R.,RB,AUS,13,15,3
Skyline. A.,FB,YKW,13,14,5
Nakamura. T.,RB,OCO,13,14,2
Skuff. R.,RB,BAL,13,13,0
Tirtawidjaja. J.,FB,CHI,13,13,4
Owens. A.,RB,COL,13,12,0
Hank. F.,RB,CHI,13,12,0
Phillips. J.,FB,OCO,13,12,0
Ruff. R.,RB,HON,13,12,1
Lewandowski. J.,TE,BAL,13,11,2
Blaze. J.,TE,SAR,13,11,0
Vincent. M.,RB,COL,13,10,0
Robertowski. G.,TE,COL,13,10,1
Toriki. M.,RB,NO,13,10,2
Williams. D.,RB,BAL,13,9,0
Torenson. S.,RB,PHI,13,9,4
Bigby. L.,RB,OCO,13,9,0
Allan. C.,FB,CHI,13,7,0
Frost. D.,RB,SAR,13,7,0
Reed. A.,RB,BAL,13,6,1
McTaco. P.,RB,SAR,13,5,5
Drake. O.,FB,SJS,13,5,0
A'Barelyanything. L.,T,AUS,6,3,0
Blockit. I.,T,AUS,4,3,0
Lee. M.,C,BAL,3,2,0
Tyerucker. Q.,RB,SJS,13,2,2
