Name,Pos,Team,G,Comp,Att,Yards,Pct,Lg,TD,Int,Rating
Cue. J.,QB,AZ,13,293,520,3429,56.3,55,15,8,79.7
Cole. E.,QB,AUS,13,256,451,3293,56.8,50,26,9,90.7
Bigsby. C.,QB,YKW,13,252,445,3213,56.6,45,29,8,93.6
Jenkins. R.,QB,SAR,13,253,479,3140,52.8,65,10,13,69.1
Armstrong. F.,QB,OCO,13,233,401,2922,58.1,53,17,8,86.7
McDummy. W.,QB,COL,13,238,411,2777,57.9,61,16,7,84.4
Wright. D.,QB,SJS,13,221,361,2669,61.2,42,21,7,95.2
Francisco. S.,QB,NO,13,230,435,2636,52.9,45,18,9,76.6
Phoenix. B.,QB,PHI,13,223,409,2468,54.5,46,15,8,76.7
Havran. C.,QB,HON,13,212,362,2374,58.6,49,8,9,75.2
Fujiwara. C.,QB,BAL,13,204,371,1979,55,40,9,7,70.4
Vega. Z.,QB,SAR,8,130,229,1509,56.8,53,4,8,68.1
LaFleur. F.,QB,CHI,5,68,158,704,43,37,0,10,30.1
