Name,Pos,Team,G,KR,KR Yds,KR Avg,KR Lg,KR TD,PR,PR Yds,PR Avg,PR Lg,PR TD
Scarlett. D.,CB,AZ,13,34,713,21,53,0,30,266,8.9,18,0
Green. W.,FS,BAL,13,33,928,28.1,94,1,26,179,6.9,80,0
Lavelle Jr.. D.,CB,AUS,13,30,758,25.3,46,0,28,266,9.5,20,0
D'Attoria V. R.,FS,PHI,13,33,806,24.4,48,0,24,205,8.5,21,0
Kane-Maika'i. K.,RB,HON,13,35,747,21.3,89,0,22,187,8.5,74,1
Firestorm-Fjord. O.,CB,CHI,13,36,794,22.1,81,0,20,120,6,18,0
Owens. A.,RB,COL,13,24,643,26.8,43,0,28,219,7.8,74,0
Dream. K.,CB,OCO,13,23,606,26.3,45,0,27,116,4.3,19,0
Gump. F.,RB,NO,13,28,818,29.2,47,0,22,173,7.9,18,0
Knight. L.,CB,SAR,13,25,525,21,44,0,24,117,4.9,16,0
O'Leary. S.,WR,CHI,13,43,785,18.3,38,0,0,0,0,0,0
Varga. N.,WR,PHI,13,28,699,25,46,0,3,19,6.3,16,0
Donut. S.,WR,AZ,13,29,694,23.9,63,0,0,0,0,0,0
PickSix. H.,CB,SJS,13,29,804,27.7,73,0,0,0,0,0,0
Purchase. L.,CB,COL,13,28,789,28.2,57,0,0,0,0,0,0
Thomas-Fox. D.,WR,SJS,13,27,598,22.1,41,0,0,0,0,0,0
Abernathy. K.,CB,OCO,13,27,661,24.5,46,0,0,0,0,0,0
Kross. C.,WR,BAL,13,26,543,20.9,38,0,0,0,0,0,0
Gordon. R.,WR,SAR,13,26,691,26.6,105,1,0,0,0,0,0
Blaylock. M.,FS,NO,13,26,690,26.5,44,0,0,0,0,0,0
Mendonca. M.,RB,AUS,13,26,677,26,46,0,0,0,0,0,0
Snuggles. J.,CB,YKW,13,0,0,0,0,0,25,178,7.1,20,0
Emoji. E.,CB,HON,13,25,651,26,41,0,0,0,0,0,0
Hanyadi. M.,FB,YKW,13,24,568,23.7,43,0,0,0,0,0,0
Jackson. A.,WR,SJS,13,0,0,0,0,0,17,96,5.6,19,0
Leonard. M.,CB,YKW,13,15,418,27.9,44,0,0,0,0,0,0
Banks II. D.,WR,SAR,13,10,195,19.5,40,0,0,0,0,0,0
Swift. N.,WR,YKW,13,7,183,26.1,42,0,0,0,0,0,0
Williams. D.,RB,BAL,13,3,80,26.7,37,0,0,0,0,0,0
Maddox. E.,WR,BAL,13,2,64,32,38,0,0,0,0,0,0
Acho. M.,CB,BAL,12,0,0,0,0,0,1,1,1,1,0
Vuxta. R.,WR,PHI,13,1,41,41,41,0,0,0,0,0,0
Grithead. D.,FS,YKW,13,1,0,0,0,0,0,0,0,0,0
Quaid. D.,LB,YKW,13,1,3,3,3,0,0,0,0,0,0
Beck. C.,CB,SJS,13,1,-1,-1,0,0,0,0,0,0,0
Harrison. H.,T,OCO,13,1,2,2,2,0,0,0,0,0,0
Biggums. T.,FS,OCO,13,1,1,1,1,0,0,0,0,0,0
Lattimer. A.,CB,OCO,13,1,35,35,35,0,0,0,0,0,0
Adams. X.,CB,NO,13,1,-1,-1,0,0,0,0,0,0,0
Larson. P.,TE,AUS,13,1,0,0,0,0,0,0,0,0,0
