Name,Position,Team,G,Att,Yards,Avg,Lg,TD
Hanyadi. M.,FB,YKW,13,268,1280,4.8,19,7
Ruff. R.,RB,HON,13,247,1161,4.7,31,8
Gump. F.,RB,NO,13,243,1117,4.6,16,4
Frost. D.,RB,SAR,13,287,1097,3.8,17,6
Reed. A.,RB,BAL,13,219,1066,4.9,24,2
Williams. D.,RB,BAL,13,242,1038,4.3,19,4
Torenson. S.,RB,PHI,13,245,989,4,19,7
Toriki. M.,RB,NO,13,215,946,4.4,19,7
Cardrissian. R.,RB,SJS,13,220,936,4.3,22,7
Tirtawidjaja. J.,FB,CHI,13,230,925,4,19,2
Skyline. A.,FB,YKW,13,212,911,4.3,19,9
Yoda. B.,RB,AZ,13,241,907,3.8,15,7
Mendonca. M.,RB,AUS,13,198,885,4.5,22,8
Tyerucker. Q.,RB,SJS,13,193,837,4.3,13,6
Nakamura. T.,RB,OCO,13,211,822,3.9,20,5
Owens. A.,RB,COL,13,189,736,3.9,14,5
Dotson. F.,RB,PHI,13,174,732,4.2,15,6
Armstrong. F.,QB,OCO,13,106,720,6.8,66,6
Kane-Maika'i. K.,RB,HON,13,186,702,3.8,12,4
Leaf Jr.. R.,RB,AUS,13,155,650,4.2,16,7
McDummy. W.,QB,COL,13,146,634,4.3,30,3
Bigby. L.,RB,OCO,13,144,632,4.4,18,7
Vincent. M.,RB,COL,13,134,526,3.9,11,4
Cue. J.,QB,AZ,13,100,464,4.6,24,2
McTaco. P.,RB,SAR,13,118,459,3.9,15,6
Hank. F.,RB,CHI,13,97,308,3.2,15,1
Cole. E.,QB,AUS,13,27,203,7.5,63,3
Skuff. R.,RB,BAL,13,30,119,4,13,0
Bigsby. C.,QB,YKW,13,13,95,7.3,23,0
Jenkins. R.,QB,SAR,13,16,71,4.4,20,0
Allan. C.,FB,CHI,13,17,68,4,9,0
Phoenix. B.,QB,PHI,13,17,52,3.1,11,0
Fujiwara. C.,QB,BAL,13,19,51,2.7,14,0
Wright. D.,QB,SJS,13,12,50,4.2,10,0
Drake. O.,FB,SJS,13,15,38,2.5,7,1
Havran. C.,QB,HON,13,12,30,2.5,8,0
Francisco. S.,QB,NO,13,5,26,5.2,23,0
Phillips. J.,FB,OCO,13,2,14,7,8,0
Bot. B.,G,SJS,13,6,5,0.8,2,0
Z. D.,RB,YKW,4,3,4,1.3,3,0
LaFleur. F.,QB,CHI,5,4,3,0.8,4,0
Alexander. W.,WR,HON,13,2,3,1.5,3,0
Blocksdale Jr.. A.,TE,PHI,13,1,2,2,2,0
Evans. H.,TE,AZ,13,3,1,0.3,1,0
Vega. Z.,QB,SAR,8,7,-3,-0.4,5,0
