Name,Pos,Team,G,No,Yards,Avg,Lg,TD
Donut. S.,WR,AZ,13,70,1191,17,55,5
Swift. N.,WR,YKW,13,67,1065,15.9,37,11
Tidwell. R.,WR,AUS,13,57,1036,18.2,50,11
Thomas-Fox. D.,WR,SJS,13,71,1022,14.4,39,11
O'Leary. S.,WR,CHI,13,67,1017,15.2,40,2
Jackson. A.,WR,SJS,13,63,989,15.7,42,8
Podolak. J.,WR,HON,13,68,984,14.5,49,4
Banks II. D.,WR,SAR,13,60,939,15.6,65,2
McCormick. A.,FB,NO,13,68,906,13.3,45,5
Bishop. J.,WR,COL,13,60,880,14.7,43,6
Gordon. R.,WR,SAR,13,52,877,16.9,53,4
Mongo. H.,WR,OCO,13,55,871,15.8,53,5
Bur'Berry. J.,WR,AZ,13,56,823,14.7,49,3
Phillips. J.,FB,OCO,13,66,822,12.5,52,3
Varga. N.,WR,PHI,13,49,721,14.7,37,5
Vuxta. R.,WR,PHI,13,46,718,15.6,46,4
Leaf Jr.. R.,RB,AUS,13,62,714,11.5,44,5
Hardagain. W.,WR,YKW,13,53,684,12.9,33,7
Clay. J.,WR,HON,13,45,638,14.2,38,3
Rodriguez. B.,WR,YKW,13,48,612,12.8,39,6
Gaines. N.,WR,AUS,13,37,606,16.4,46,4
Irving. J.,FB,OCO,13,53,588,11.1,33,2
Barker. E.,WR,NO,13,45,580,12.9,45,3
Arrow. R.,WR,COL,13,36,566,15.7,61,2
Hank. F.,RB,CHI,13,52,562,10.8,35,2
Evans. H.,TE,AZ,13,62,556,9,42,2
Owens. A.,RB,COL,13,58,553,9.5,51,5
Trunks. F.,WR,OCO,13,42,542,12.9,46,6
Passman. T.,WR,AZ,13,51,539,10.6,45,3
Maddox. E.,WR,BAL,13,37,499,13.5,40,1
Hanyadi. M.,FB,YKW,13,41,440,10.7,45,4
Mendonca. M.,RB,AUS,13,46,434,9.4,28,2
Witheblock. M.,WR,SAR,13,32,427,13.3,57,1
Quinn. A.,WR,BAL,13,34,407,12,37,5
McDavid. L.,TE,SJS,13,49,405,8.3,28,1
Blocksdale Jr.. A.,TE,PHI,13,46,382,8.3,24,3
Kane-Maika'i. K.,RB,HON,13,50,381,7.6,31,1
Davis. J.,WR,CHI,13,32,375,11.7,29,0
Gump. F.,RB,NO,13,36,367,10.2,34,3
Kross. C.,WR,BAL,13,30,362,12.1,28,2
Larson. P.,TE,AUS,13,39,362,9.3,31,1
Skyline. A.,FB,YKW,13,34,358,10.5,40,1
Blaze. J.,TE,SAR,13,41,338,8.2,29,1
Panda. F.,WR,PHI,13,28,336,12,40,3
Yoda. B.,RB,AZ,13,54,320,5.9,21,2
Jones. B.,WR,NO,13,20,311,15.6,43,2
Lim. W.,WR,COL,13,21,310,14.8,43,1
Hayes. V.,TE,CHI,13,41,305,7.4,24,0
Lewandowski. J.,TE,BAL,13,35,300,8.6,26,0
Wolfcastle. R.,TE,NO,13,34,279,8.2,31,3
Frost. D.,RB,SAR,13,32,223,7,36,1
Sauce. E.,TE,COL,13,30,210,7,23,0
Alexander. W.,WR,HON,13,27,207,7.7,21,0
Dotson. F.,RB,PHI,13,38,202,5.3,19,0
Toriki. M.,RB,NO,13,27,193,7.1,22,2
Jeeta. E.,WR,AUS,13,15,141,9.4,20,3
Reed. A.,RB,BAL,13,17,133,7.8,25,0
Williams. D.,RB,BAL,13,26,129,5,16,0
Tirtawidjaja. J.,FB,CHI,13,20,122,6.1,21,0
Drake. O.,FB,SJS,13,14,116,8.3,16,0
Skuff. R.,RB,BAL,13,19,109,5.7,13,1
Torenson. S.,RB,PHI,13,16,109,6.8,29,0
Dropson. J.,WR,COL,13,9,101,11.2,40,1
Z. D.,WR,HON,13,11,99,9,18,0
Vincent. M.,RB,COL,13,14,88,6.3,15,1
Cardrissian. R.,RB,SJS,13,10,83,8.3,20,0
McTaco. P.,RB,SAR,13,13,72,5.5,12,0
Robertowski. G.,TE,COL,13,10,69,6.9,11,0
Ruff. R.,RB,HON,13,11,65,5.9,17,0
Bigby. L.,RB,OCO,13,10,54,5.4,17,0
Bot. B.,G,SJS,13,10,42,4.2,10,0
Lee. M.,C,BAL,3,6,40,6.7,11,0
Allan. C.,FB,CHI,13,4,40,10,18,1
Handley. C.,WR,SAR,3,3,39,13,14,0
Nakamura. T.,RB,OCO,13,6,37,6.2,11,1
Tyerucker. Q.,RB,SJS,13,7,29,4.1,10,1
Z. D.,WR,SJS,7,3,18,6,6,0
Z. D.,WR,CHI,10,2,17,8.5,10,0
Z. D.,WR,YKW,7,2,16,8,10,0
Z. D.,WR,OCO,12,1,8,8,8,0
Z. D.,RB,YKW,4,1,3,3,3,0
